#{"t_start": 1657662919.6905906, "env_id": null}
r,l,t
-3,607,610.115975
1,824,610.624136
1,750,612.510484
-3,668,612.950842
2,668,613.353096
-4,529,615.033747
-2,710,615.488905
2,692,615.931567
2,620,617.698891
-1,834,618.214197
4,461,618.495659
1,752,620.442795
3,552,620.807669
-1,810,621.303594
4,477,622.964224
-2,685,623.418202
1,741,623.884862
3,538,624.247876
2,670,626.03156
-2,693,626.458714
-1,813,628.395727
5,395,628.968373
3,542,629.254418
1,832,629.679458
3,620,630.002382
-3,643,630.341886
-3,625,630.672261
1,858,631.128769
3,529,631.411947
-2,758,631.821775
4,565,632.131219
-2,648,632.492716
-5,394,632.709946
2,727,633.090614
1,851,633.532111
1,720,633.908192
-1,780,634.311423
-3,575,634.616793
1,735,635.000866
-3,664,635.363415
-3,632,635.708453
-1,732,636.10187
-1,790,636.547972
1,869,637.018056
3,629,637.34182
2,758,637.731164
3,547,638.014734
2,698,638.37145
2,760,638.776711
1,754,639.17941
2,664,639.537381
3,581,639.848845
4,536,640.139657
1,703,640.538385
2,714,640.917998
3,616,641.240972
1,746,641.623932
-1,812,642.034932
-2,623,642.348933
-3,646,642.678941
1,720,643.045941
-2,638,643.370933
4,487,643.617932
-2,691,643.981941
-2,672,644.350974
1,730,644.748973
1,712,645.12197
1,747,645.509965
4,475,645.75696
-1,817,646.182034
2,635,646.519018
4,527,646.795011
4,466,647.045018
-3,663,647.398009
2,638,647.739072
3,599,648.054057
1,735,648.442032
-1,759,648.842029
2,678,649.187461
2,677,649.535441
1,679,649.886454
-2,618,650.199583
-1,761,650.595395
2,712,650.967381
-1,744,651.36039
-3,551,651.655371
3,544,651.947381
2,597,652.268354
-1,783,652.682388
-3,565,652.983431
-3,600,653.300421
4,467,653.546396
4,541,653.818394
1,732,654.195393
2,678,654.545394
-3,554,654.832394
2,635,655.164394
-1,802,655.585394
5,462,655.826396
-1,743,656.217393
1,720,656.599401
5,395,656.811396
3,634,657.132393
-2,715,657.495394
-2,672,657.835394
-3,540,658.106393
-1,727,658.474394
3,660,658.812398
4,460,659.049393
-5,419,659.2634
3,595,659.563398
5,438,659.788394
1,772,660.182394
-5,479,660.438393
-4,581,660.748399
2,654,661.082394
2,632,661.405394
-2,687,661.757394
-3,591,662.058394
5,440,662.289394
3,550,662.572394
-2,679,663.235069
4,482,663.86367
-2,700,666.255884
1,806,666.910259
-3,647,667.410704
5,480,669.297162
2,676,669.710384
1,808,670.199506
-1,804,672.124541
2,636,672.602404
1,757,673.079422
2,814,674.923749
3,543,675.258587
3,587,675.625173
-3,703,677.410555
1,798,677.904157
4,472,678.190808
1,721,679.972615
-2,668,680.398028
-2,767,680.887015
2,645,682.606028
-2,732,683.065407
-2,659,683.483145
-1,858,685.440751
2,665,685.846407
-3,600,686.207313
3,580,688.13456
-2,659,688.563469
-3,584,688.933278
1,874,690.82422
2,758,691.312958
-2,786,693.151402
-1,710,693.614686
2,686,694.039363
-4,505,694.356397
-2,625,696.142586
1,701,696.592271
4,502,696.911422
-2,817,698.815185
-3,601,699.192831
-3,534,699.530372
