x_agent,y_agent,xdot_agent,ydot_agent,x_ball,y_ball,xdot_ball,ydot_ball
0.88472,0.15000,0.00000,0.00000,0.71918,0.91601,-1.50190,-0.52395
0.20000,0.46533,0.00000,0.37000,-0.11471,0.74893,0.67662,-1.77415
0.25833,0.46547,1.75000,-0.26700,-0.35263,0.95887,1.69517,0.84204
0.20000,0.48273,0.00000,0.07600,-1.64698,0.57393,-1.22237,3.53796
0.49167,0.15000,1.75000,0.00000,0.00000,1.20000,-1.98153,1.03856
0.20000,0.47658,0.00000,0.23525,-0.56580,0.75392,1.77699,-0.82983
1.35833,0.15000,1.75000,0.00000,1.17930,0.51823,1.87368,-1.24539
0.20000,0.15000,0.00000,0.00000,-0.12273,1.08653,-1.60033,-0.07244
1.44444,0.40791,1.75000,-0.61000,0.91036,1.22781,-0.83474,0.74644
1.09444,0.28693,-1.75000,1.12133,0.71806,1.33523,-1.07353,-0.27681
0.66667,0.32840,-1.75000,-0.90400,0.31833,1.15349,-1.26650,0.19370
0.90000,0.48020,-1.75000,0.17400,0.77342,0.74350,-1.75260,1.21499
0.20000,0.48020,0.00000,0.17400,-1.34139,0.77896,0.23950,2.13922
0.67833,0.33116,0.00000,-0.88440,0.35149,1.23430,1.17833,0.39486
0.73333,0.47440,-1.75000,0.27200,0.00020,1.04631,0.00024,-1.36043
1.65833,0.35853,0.00000,-0.80600,1.54476,1.30595,0.04333,0.24039
0.78333,0.48200,0.00000,-0.02200,0.67025,0.67845,0.49253,-1.93345
0.20000,0.25833,0.00000,-1.10000,-1.77071,0.90335,1.16903,1.62677
0.21167,0.47975,0.00000,-0.06120,-0.14353,0.61681,-1.34616,0.74578
0.20000,0.43787,0.00000,-0.46300,-1.60669,0.94623,-1.47167,0.57497
0.51500,0.15000,0.00000,0.00000,0.11808,1.31079,0.10418,-0.47386
0.20000,0.33777,0.00000,0.97200,-1.02752,0.85134,-1.73072,-0.91573
2.01667,0.44042,-1.75000,0.53333,0.00000,1.20000,-0.95083,1.44795
0.20000,0.37196,0.00000,-0.75700,-0.35716,1.02388,-1.41934,0.07984
0.95833,0.30877,0.00000,1.05600,0.96623,0.51111,1.81300,3.46631
1.06458,0.44286,0.00000,-0.34050,1.64273,0.31756,1.36594,-1.77759
1.62916,0.23836,1.75000,-1.14900,1.45749,1.24901,0.45949,-0.19907
0.20000,0.45911,0.00000,-0.31600,-0.37972,1.05550,0.57981,1.38737
0.20000,0.46533,0.00000,0.37000,-0.61669,0.68288,1.96074,0.95550
0.73333,0.15000,1.75000,0.00000,0.44140,0.93558,1.71448,0.03984
1.27333,0.15000,1.75000,0.00000,1.18350,0.83688,1.82957,-0.60347
2.15667,0.28028,-1.75000,1.13440,2.11950,0.91912,-0.79266,-1.31167
0.82500,0.25216,0.00000,-1.11400,0.55583,1.29809,-0.88756,0.16302
0.20000,0.33342,0.00000,-0.88767,-0.47069,0.85921,1.40216,1.26842
1.81250,0.27340,0.00000,-1.05100,-0.02391,0.94942,0.11801,1.82688
1.83611,0.46964,-1.75000,-0.21800,-0.44210,0.91468,0.63525,-0.57065
1.13333,0.23673,1.75000,1.25200,0.78243,0.90541,1.18422,-1.02686
0.20000,0.35853,0.00000,-0.80600,-2.28968,0.77945,-0.49630,-1.79089
1.63182,0.47374,-1.75000,-0.17345,1.61722,0.90670,-1.34576,1.43943
0.52500,0.15000,1.75000,0.00000,-0.05546,1.19462,1.20280,-0.15199
0.20000,0.48000,0.00000,-0.07100,-0.11999,0.62093,-1.09709,-1.85760
0.25833,0.29500,0.00000,-1.00200,-0.30973,0.96042,1.48135,0.32155
0.46250,0.25515,-1.75000,1.20300,0.02305,1.23444,-0.74056,-0.64418
1.27917,0.47566,0.00000,0.22300,1.25726,1.01370,0.45999,1.54661
2.25000,0.15000,0.00000,0.00000,2.32059,1.23782,-0.59374,-0.42709
0.71500,0.43297,-1.75000,0.58560,0.51459,0.52450,-2.18898,0.20939
