#{"t_start": 1658063674.9395127, "env_id": null}
r,l,t
2,668,354.597234
-1,860,355.242085
1,750,355.899702
-2,631,356.363499
1,841,357.002894
5,388,357.31541
2,663,357.872735
-1,742,358.441411
4,511,358.847111
-3,582,359.29613
4,538,359.691664
-1,713,360.292823
-3,626,360.780682
-1,801,361.639025
-4,546,362.302651
4,535,362.775537
1,718,363.316293
1,726,363.870685
-1,850,364.406251
2,650,365.242389
-4,489,366.006396
5,422,366.655392
-4,483,367.496387
4,475,368.041087
1,769,368.83008
-1,774,369.546079
-3,595,370.17108
-1,742,370.831082
3,592,371.37308
-2,621,372.01808
3,543,372.605083
1,781,373.907102
-3,569,374.729085
3,664,375.401081
-3,566,376.332081
4,551,376.997083
-1,768,378.141087
-2,630,379.215087
4,464,379.989084
-2,719,380.996085
5,426,381.549083
-1,730,382.568082
1,887,383.355139
-5,386,383.647335
1,802,384.640316
4,454,385.132736
3,544,385.554906
-1,727,386.224787
2,760,386.881613
-3,566,387.271661
-3,549,387.749441
2,621,388.357352
5,382,388.655989
-1,789,389.278736
2,756,389.952018
3,560,390.358271
3,592,390.876595
-4,535,391.391268
5,438,391.714483
-1,700,392.324423
5,385,392.614935
3,546,393.046257
-2,668,393.502783
3,567,394.10236
3,625,394.534408
-2,682,395.24361
-2,869,396.277124
5,379,396.658351
-4,554,397.147541
4,523,397.62419
-3,619,398.170985
4,569,398.70378
1,767,399.833387
1,726,400.541232
4,468,401.037266
-3,532,401.272501
-1,856,401.432134
-2,645,401.573632
-2,779,401.725935
-4,468,401.816829
-3,589,401.931242
2,668,402.05343
1,672,402.18024
3,591,402.290052
3,607,402.41044
-2,694,402.542867
-2,615,402.661299
3,643,402.778287
3,610,402.906221
-1,752,403.062226
3,582,403.214204
4,469,403.340217
4,472,403.443228
1,713,403.584189
-2,674,403.715023
1,734,403.85817
3,661,403.978167
-4,546,404.086698
-3,659,404.207235
1,791,404.37043
-1,760,404.509396
1,726,404.649048
-2,643,404.769024
4,503,404.859636
3,624,404.977009
-3,576,405.090829
2,716,405.226825
-2,618,405.346981
4,640,405.458833
-3,580,405.571117
-3,626,405.698008
-2,728,405.832822
-4,581,405.943595
2,650,406.065689
5,419,406.146674
1,834,406.307646
-1,679,406.428363
2,689,406.552829
-2,642,406.67757
-3,668,406.799117
2,681,406.929157
-3,577,407.032997
3,547,407.145993
-3,551,407.237864
4,482,407.339684
-3,592,407.438084
-4,487,407.542682
-1,721,407.678601
1,730,407.816808
-2,688,407.948808
-3,577,408.058105
2,714,408.184253
1,733,408.335227
1,731,408.479253
1,725,408.617048
3,584,408.731996
-1,758,408.872196
4,544,408.977017
-1,733,409.117109
2,661,409.239915
-1,760,409.392875
-2,720,409.527837
-3,588,409.637579
1,719,409.766614
2,652,409.885693
2,671,410.092975
3,589,410.242961
3,570,410.348582
-1,740,410.489741
1,814,410.635544
3,538,410.740575
-3,579,410.865215
4,519,410.969179
-2,665,411.095178
3,551,411.199265
2,722,411.334625
1,752,411.47972
4,536,411.594656
2,713,411.734277
2,697,411.866783
3,623,411.981994
-3,594,412.096423
-4,483,412.188459
-2,632,412.313644
-4,471,412.411442
-2,721,412.548635
-4,473,412.636069
1,734,412.781019
-2,643,412.900017
-1,732,413.041565
-1,862,413.212875
2,651,413.33664
3,544,413.472606
4,507,413.594068
1,768,413.844522
1,719,414.514609
-2,725,415.242263
-5,427,415.640454
-2,698,416.431281
3,557,416.946678
